"mol%Al2O3","mol%Gd2O3","T0 (K)","Ms (K)"
0,0.0,1367.,1217.
1,0.0,1149.128207070707,997.6131313131314
2,0.0,925.4233685812495,772.3622448979592
3,0.0,695.7458762886598,541.1067010309279
0,0.6,1165.118730150693,1017.4039401934916
1,0.6,949.0120005004059,799.6974309368687
2,0.6,726.9893649667719,575.9969071423434
3,0.6,498.83159165945057,346.10763199429766
4,0.6,264.4100097731598,110.0969600329201
0,1.2,970.2683202507419,824.5519269086844
1,1.2,755.5869291610367,608.1233085666486
2,1.2,534.7982238182295,385.48526043222785
3,1.2,307.7225631224223,156.83231063273328
0,1.8,781.6960204180939,637.6393735403215
1,1.8,568.0065721674541,422.01383813282655
2,1.8,348.01136643212124,200.3953648575506
3,1.8,122.13935822802816,-26.944838847081776
