"mol%La2O3","mol%Y2O3","T0 (K)","Ms (K)"
0,0,1367.,1217.
0,0.5,1125.7725838769584,973.3716997837352
0,1.,879.6680643524584,725.024264337683
0,1.5,629.5578655697602,472.84255341378054
1,0,1286.4171702637889,1142.5323741007194
1,0.5,1055.9991108054505,910.115456755818
1,1.,821.9583574708969,674.2307638195197
1,1.5,585.1218334820279,435.71590173381617
3,0,1138.3610971209919,1005.3235033259423
3,0.5,927.682176,793.2823469929792
3,1.,715.3198673203434,579.700767213877
5,0,1005.02307806956,881.3117525773196
5,0.5,811.8861431256764,687.2828492597977
5,1.,618.4397825525008,493.0721517778255
7,0,883.8270384300323,768.2200385356455
7,0.5,706.3532112755669,590.205995409419
7,1.,529.5435525021483,412.9682304417096
9,0,772.8087152808813,664.3095840867993
9,0.5,609.3841597836881,500.610814142607
9,1.,447.3101171582762,338.35965783338054
