Al,Gd
6.124486924,0.04251435
6.016268652,0.34978989
5.933714541,0.6102175
5.850065627,0.871317828
5.764296208,1.160237004
5.694324433,1.408157375
5.617858189,1.66609417
5.538548094,1.897613536
5.224368076,1.921379533
4.957597901,1.943792955
4.688282098,1.957569323
4.409618083,1.976088311
4.125451879,1.997442607
3.872960089,2.013137841
3.603845519,2.03717716
3.305096668,2.066071713
3.041021386,2.087792375
2.790938651,2.112592457
2.534178288,2.140786512
2.282185019,2.166685284
1.99074874,2.205653991
1.751357116,2.232057038
1.453535795,2.28098019
1.214542976,2.320543684
0.950424196,2.362752417
0.692491808,2.411853235
0.400574402,2.468025103
0.089449624,2.543724079
