Ti,Y
18.84448241,1.102318652
18.57110859,1.074103702
18.12942249,1.117495245
17.60228705,1.161779918
17.12794769,1.176654741
16.65814862,1.178172199
16.17800293,1.210848359
15.68920886,1.270204715
15.21672799,1.280615994
14.74140435,1.299919704
14.25325798,1.359222887
13.77679198,1.382954274
13.30326607,1.397796025
12.81438726,1.461480241
12.33416561,1.49850113
11.85412302,1.535508215
11.37562825,1.568067035
10.88914363,1.62721029
10.41102816,1.659739031
9.923720148,1.723255395
9.45129292,1.738046333
8.963171026,1.805936601
8.48580178,1.838406759
7.994383937,1.919485837
7.518726991,1.947501277
7.027975046,2.028491124
6.550200514,2.065300877
6.062629215,2.137376504
5.594375722,2.199677906
5.134287651,2.201156628
4.609320721,2.326888008
4.125503012,2.389977863
3.644375612,2.444236864
3.217146267,2.492972499
2.680258043,2.628928238
2.187530233,2.663866143
1.63925554,2.782859493
1.214316001,2.824610923
0.728303209,2.904885149
0.381604678,2.976312086
0.024351566,3.07203003
