mol%TiO2,T0 (K),Ms (K),T0 (C),"T0 (C, corr)","Af (C, expt)"
0,1367.0,1217.0,1094.0,1203.456174927011,1203.456174927011
2,1353.1300713056307,1205.6011802311286,1080.1300713056307,1189.5862462326418,1169.269805521063
4,1340.4651162790694,1195.1162790697674,1067.4651162790694,1176.9212912060805,1135.083436115115
6,1328.8979201530005,1185.4601960315565,1055.8979201530005,1165.3540950800116,1100.8970667091671
8,1318.336483931947,1176.5595463137995,1045.336483931947,1154.792658858958,1066.7106973032191
10,1308.701754385965,1168.3508771929826,1035.701754385965,1145.157929312976,1032.524327897271
12,1299.9257884972174,1160.7792207792206,1026.9257884972174,1136.3819634242284,998.337958491323
14,1291.9502647939212,1153.7969145751786,1018.9502647939212,1128.4064397209322,964.151589085375
16,1284.7252747252744,1147.362637362637,1011.7252747252744,1121.1814496522854,929.965219679427
18,1278.2083428310918,1141.4406200136768,1005.2083428310918,1114.6645177581029,895.7788502734791
20,1272.3636363636365,1136.0,999.3636363636365,1108.8198112906475,861.592480867531
